Time,AE,EC,M,O
3180.794848,6.46E-05,0.068518338,0.609474076,0
3181.293731,5.84E-05,0.068522565,0.632190501,0
3181.792879,5.89E-05,0.068522565,0.627508027,0
3182.291642,6.80E-05,0.068518338,0.619639234,0
3182.794776,5.45E-05,0.068526792,0.642299254,0
3183.297463,6.43E-05,0.068518338,0.609333033,0
3183.797273,6.50E-05,0.068518338,0.645478916,0
3184.292727,4.82E-05,0.068518338,0.618075494,0
3184.793433,7.00E-05,0.068526792,0.6215626,0
3185.296716,5.45E-05,0.068518338,0.642369042,0
3185.795152,6.53E-05,0.068514112,0.607137972,0
3186.293731,5.16E-05,0.068526792,0.644780064,0
3186.797313,6.47E-05,0.068522565,0.613521892,0
3187.297273,5.62E-05,0.068522565,0.6362209,0
3187.792727,5.97E-05,0.068518338,0.628428127,0
3188.295294,6.79E-05,0.068522565,0.614772385,0
3188.797727,5.23E-05,0.068518338,0.646119962,0
3189.292879,6.72E-05,0.068518338,0.604881349,0
3189.794091,6.32E-05,0.068522565,0.636622634,0
3190.297463,5.03E-05,0.068518338,0.62156686,0
3190.797424,7.14E-05,0.068518338,0.625224627,0
3191.292424,5.69E-05,0.068518338,0.639088328,0
3191.795147,6.73E-05,0.068518338,0.607027691,0
3192.297879,5.32E-05,0.068518338,0.648838794,0
3192.792424,6.51E-05,0.068522565,0.609040373,0
3193.296176,5.63E-05,0.068518338,0.635591491,0
3193.799091,6.01E-05,0.068518338,0.627148628,0
3194.295152,6.86E-05,0.068522565,0.614378682,0
3194.790758,5.09E-05,0.068518338,0.646539836,0
3195.295,6.43E-05,0.068522565,0.604985023,0
3195.797576,6.09E-05,0.068518338,0.644776529,0
3196.292879,4.89E-05,0.068522565,0.617596868,0
3196.795147,7.01E-05,0.068518338,0.624968948,0
3197.298939,5.84E-05,0.068522565,0.638025675,0
3197.794242,6.72E-05,0.068518338,0.606607509,0
3198.293731,5.22E-05,0.068514112,0.652412267,0
3198.796716,6.90E-05,0.068522565,0.605242893,0
3199.295152,5.49E-05,0.068522565,0.636002321,0
3199.794179,5.96E-05,0.068514112,0.632248372,0
3200.297015,6.83E-05,0.068518338,0.610660668,0
3200.796818,5.36E-05,0.068518338,0.645859916,0
3201.294394,6.63E-05,0.068518338,0.605012671,0
3201.793731,6.24E-05,0.068514112,0.648650632,0
3202.296418,5.32E-05,0.068514112,0.613391681,0
3202.795,6.88E-05,0.068518338,0.625434564,0
3203.293881,5.69E-05,0.068509885,0.643043923,0
3203.796567,6.67E-05,0.068522565,0.602678683,0
3204.296364,5.16E-05,0.068509885,0.649045276,0
3204.796269,6.30E-05,0.068505658,0.613518489,0
3205.297231,5.43E-05,0.068518338,0.631565242,0
3205.793881,5.92E-05,0.068518338,0.62373448,0
3206.294091,6.80E-05,0.068509885,0.614844345,0
3206.793881,5.24E-05,0.068509885,0.650603791,0
3207.296567,6.70E-05,0.068509885,0.60047702,0
3207.793231,5.87E-05,0.068509885,0.640945513,0
3208.294091,5.14E-05,0.068509885,0.617252159,0
3208.795,6.86E-05,0.068509885,0.624686388,0
3209.293881,6.06E-05,0.068522565,0.634404927,0
3209.796418,6.41E-05,0.068518338,0.611405337,0
3210.295152,5.04E-05,0.068514112,0.648772266,0
3210.794776,6.96E-05,0.068514112,0.604879494,0
3211.296061,5.25E-05,0.068509885,0.636562155,0
3211.796269,6.41E-05,0.068509885,0.63187476,0
3212.295152,6.55E-05,0.068514112,0.614205026,0
3212.792576,5.68E-05,0.068514112,0.637966062,0
3213.296269,6.66E-05,0.068514112,0.609230906,0
3213.796769,6.13E-05,0.068514112,0.640470929,0
3214.294478,5.74E-05,0.068514112,0.612856373,0
3214.797164,6.78E-05,0.068514112,0.629759052,0
3215.296818,6.03E-05,0.068514112,0.638340152,0
3215.792727,6.56E-05,0.068514112,0.606564314,0
3216.295441,5.01E-05,0.068509885,0.648266759,0
3216.798485,6.78E-05,0.068509885,0.60880452,0
3217.293788,5.23E-05,0.068501431,0.635685255,0
3217.794328,6.21E-05,0.068509885,0.623303849,0
3218.297463,6.58E-05,0.068501431,0.619460513,0
3218.797424,5.24E-05,0.068505658,0.646276335,0
3219.292424,6.89E-05,0.068509885,0.604687825,0
3219.795147,5.77E-05,0.068505658,0.644398605,0
3220.297879,5.63E-05,0.068509885,0.61701889,0
3220.792727,6.44E-05,0.068501431,0.62509417,0
3221.295294,6.44E-05,0.068501431,0.637952801,0
3221.799848,6.15E-05,0.068509885,0.606823495,0
3222.295303,5.23E-05,0.068509885,0.648818921,0
3222.792424,6.84E-05,0.068505658,0.609148368,0
3223.295,5.54E-05,0.068505658,0.635480803,0
3223.797727,6.30E-05,0.068509885,0.627093336,0
3224.292424,6.84E-05,0.068505658,0.614512594,0
3224.795588,5.32E-05,0.068505658,0.645722649,0
3225.298939,7.12E-05,0.068505658,0.604445923,0
3225.795303,5.67E-05,0.068501431,0.644681497,0
3226.29,5.49E-05,0.068505658,0.617533801,0
3226.792794,6.46E-05,0.068505658,0.624999976,0
3227.298462,6.15E-05,0.068505658,0.633850437,0
3227.792121,6.40E-05,0.068501431,0.60648224,0
3228.295882,4.91E-05,0.068501431,0.647823174,0
3228.799242,7.08E-05,0.068509885,0.608414878,0
3229.295152,5.47E-05,0.068505658,0.635724129,0
3229.792727,6.07E-05,0.068501431,0.627940864,0
3230.296567,6.81E-05,0.068505658,0.610193444,0
3230.795152,5.17E-05,0.068505658,0.646081083,0
3231.29403,6.91E-05,0.068497204,0.609190054,0
3231.796716,5.87E-05,0.068497204,0.640481417,0
3232.297692,5.51E-05,0.068492977,0.62104193,0
3232.793485,6.52E-05,0.068497204,0.625033696,0
3233.292388,6.39E-05,0.068505658,0.642636268,0
3233.792121,6.60E-05,0.068505658,0.597807381,0
3234.295,5.23E-05,0.068505658,0.648650452,0
3234.794328,6.87E-05,0.068501431,0.613379769,0
3235.292727,5.60E-05,0.068505658,0.635304255,0
3235.792985,6.35E-05,0.068501431,0.623658734,0
3236.293077,6.68E-05,0.068501431,0.609877362,0
3236.791642,5.28E-05,0.068505658,0.650206349,0
3237.293731,6.61E-05,0.068505658,0.60047702,0
3237.793333,6.02E-05,0.068501431,0.644593374,0
3238.291642,5.46E-05,0.068501431,0.621297073,0
3238.796119,6.68E-05,0.068505658,0.62093623,0
3239.296364,6.50E-05,0.068497204,0.637355258,0
3239.796119,6.30E-05,0.068505658,0.611275979,0
3240.295303,5.41E-05,0.068505658,0.648278955,0
3240.793731,6.87E-05,0.068505658,0.604379079,0
3241.292879,5.65E-05,0.068509885,0.635947029,0
3241.791642,6.33E-05,0.068509885,0.631642423,0
3242.291515,6.59E-05,0.068505658,0.613925112,0
3242.791045,5.41E-05,0.068505658,0.64178182,0
3243.297727,7.03E-05,0.068505658,0.604577241,0
3243.793333,5.60E-05,0.068501431,0.644555361,0
3244.295455,5.62E-05,0.068505658,0.616913493,0
3244.796866,6.39E-05,0.068501431,0.629467145,0
3245.295152,6.10E-05,0.068509885,0.638384214,0
3245.794925,6.42E-05,0.068509885,0.602532301,0
3246.298657,4.93E-05,0.068497204,0.65220887,0
3246.797576,6.82E-05,0.068505658,0.608707755,0
3247.292576,5.08E-05,0.068497204,0.635602315,0
3247.795147,6.08E-05,0.068501431,0.628667719,0
3248.297538,6.53E-05,0.068509885,0.609578228,0
3248.792879,5.36E-05,0.068492977,0.646776561,0
3249.293731,6.91E-05,0.068505658,0.600454038,0
3249.797761,5.67E-05,0.068497204,0.648403827,0
3250.297231,5.40E-05,0.068505658,0.61290821,0
3250.792727,6.76E-05,0.068501431,0.623619419,0
3251.292985,6.34E-05,0.068501431,0.63451216,0
3251.797727,6.38E-05,0.068501431,0.606077047,0
3252.29303,5.15E-05,0.068497204,0.648272045,0
3252.795882,6.83E-05,0.068497204,0.609389001,0
3253.299394,5.43E-05,0.068505658,0.635585036,0
3253.795303,6.04E-05,0.068497204,0.62797715,0
3254.294627,6.62E-05,0.068492977,0.617537142,0
3254.796716,5.44E-05,0.068501431,0.641673735,0
3255.297424,7.02E-05,0.068505658,0.604345704,0
3255.792424,5.49E-05,0.068501431,0.643846065,0
3256.295882,5.66E-05,0.068497204,0.617320688,0
3256.799242,6.60E-05,0.068497204,0.624384874,0
3257.295,6.06E-05,0.068497204,0.63819069,0
3257.793881,6.21E-05,0.068497204,0.610301524,0
3258.296418,5.09E-05,0.068505658,0.643788591,0
3258.798308,6.82E-05,0.068497204,0.613004704,0
3259.29403,5.41E-05,0.068501431,0.639019316,0
3259.79791,6.13E-05,0.068514112,0.623162573,0
3260.298182,6.90E-05,0.068497204,0.614148873,0
3260.795,5.35E-05,0.068501431,0.645814127,0
3261.293731,7.06E-05,0.068501431,0.608876868,0
3261.796269,5.77E-05,0.068509885,0.638927403,0
3262.295455,5.74E-05,0.068509885,0.616686272,0
3262.79403,6.63E-05,0.068505658,0.627964192,0
3263.296061,6.02E-05,0.068509885,0.638010124,0
3263.798615,6.49E-05,0.068505658,0.60081465,0
3264.296119,5.06E-05,0.068497204,0.651727173,0
3264.795303,6.76E-05,0.068501431,0.608602354,0
3265.295672,5.53E-05,0.068501431,0.630162452,0
3265.795,6.15E-05,0.068497204,0.626930049,0
3266.293731,6.44E-05,0.068492977,0.617417997,0
3266.793182,5.45E-05,0.068501431,0.645567905,0
3267.292687,6.81E-05,0.068501431,0.599329804,0
3267.795821,5.57E-05,0.068501431,0.647334061,0
3268.295,5.34E-05,0.068505658,0.616861656,0
3268.793881,6.77E-05,0.068501431,0.619154986,0
3269.296418,5.79E-05,0.068501431,0.641344379,0
3269.795152,6.43E-05,0.068492977,0.605030812,0
3270.294925,4.99E-05,0.068492977,0.642873716,0
3270.79791,6.97E-05,0.068497204,0.611824903,0
3271.299242,5.30E-05,0.068497204,0.633929719,0
3271.795,6.37E-05,0.068497204,0.627120118,0
3272.29303,6.69E-05,0.068497204,0.603753906,0
3272.796716,5.53E-05,0.068501431,0.648686378,0
3273.295152,6.79E-05,0.068497204,0.603137914,0
3273.794627,5.83E-05,0.068497204,0.638460173,0
3274.297612,5.29E-05,0.068497204,0.620099648,0
3274.797727,6.93E-05,0.068497204,0.623238419,0
3275.292576,5.79E-05,0.068492977,0.637456338,0
3275.795441,6.82E-05,0.068492977,0.605251677,0
3276.298485,5.00E-05,0.068501431,0.647065117,0
3276.795,6.91E-05,0.068501431,0.608150511,0
3277.294925,5.39E-05,0.068501431,0.629867989,0
3277.798358,6.13E-05,0.068497204,0.63037351,0
3278.297576,6.41E-05,0.068492977,0.612376062,0
3278.792424,5.46E-05,0.068497204,0.644851694,0
3279.295147,6.94E-05,0.068501431,0.603286156,0
3279.797727,5.59E-05,0.068497204,0.642906959,0
3280.293333,5.39E-05,0.068497204,0.616252574,0
3280.792537,6.88E-05,0.068492977,0.626832295,0
3281.296119,6.01E-05,0.068492977,0.633457709,0
3281.797121,6.52E-05,0.068492977,0.605086104,0
3282.292424,5.06E-05,0.068497204,0.64711436,0
3282.795147,6.89E-05,0.068492977,0.608207506,0
3283.297727,5.35E-05,0.06848875,0.634359962,0
3283.793485,6.29E-05,0.068484523,0.627213423,0
3284.295882,6.60E-05,0.068492977,0.613439117,0
3284.798788,5.56E-05,0.068484523,0.644936361,0
3285.294545,6.71E-05,0.068484523,0.603744402,0
3285.794179,5.54E-05,0.068484523,0.647035344,0
3286.296716,5.51E-05,0.068497204,0.612135538,0
3286.795606,6.82E-05,0.06848875,0.623820719,0
3287.295075,5.81E-05,0.06848875,0.641936712,0
3287.799403,6.59E-05,0.06848875,0.601144239,0
3288.302308,4.92E-05,0.068484523,0.651611809,0
3288.795455,7.01E-05,0.068484523,0.608061527,0
3289.293881,5.19E-05,0.068480296,0.638377621,0
3289.796269,6.18E-05,0.06848875,0.62296258,0
3290.295152,6.38E-05,0.068484523,0.613462899,0
3290.796364,5.52E-05,0.068484523,0.645912614,0
3291.297463,6.88E-05,0.06848875,0.599320443,0
3291.797424,5.71E-05,0.06848875,0.643634396,0
3292.296667,5.26E-05,0.068484523,0.625273009,0
3292.797576,7.01E-05,0.068480296,0.622913578,0
3293.296418,5.96E-05,0.06848875,0.633404093,0
3293.795152,6.80E-05,0.068492977,0.605290858,0
3294.294627,4.97E-05,0.068484523,0.651371436,0
3294.79791,7.07E-05,0.068497204,0.603842066,0
3295.297121,5.22E-05,0.068492977,0.634708136,0
3295.797015,6.26E-05,0.06848875,0.631084137,0
3296.295152,6.35E-05,0.06848875,0.612725959,0
3296.794328,5.82E-05,0.06848875,0.641001406,0
3297.292576,6.91E-05,0.06848875,0.60368479,0
3297.793433,5.40E-05,0.068484523,0.647027681,0
3298.297612,5.65E-05,0.068492977,0.612196812,0
3298.797121,6.70E-05,0.068484523,0.624327854,0
3299.295821,5.88E-05,0.068476069,0.641794584,0
3299.795152,6.59E-05,0.06848875,0.605351337,0
3300.293731,5.08E-05,0.068484523,0.643580083,0
3300.796418,6.76E-05,0.068480296,0.6125951,0
3301.295303,5.24E-05,0.068480296,0.634490418,0
3301.794627,6.07E-05,0.068484523,0.623063003,0
3302.29806,6.48E-05,0.068484523,0.618159258,0
3302.798182,5.80E-05,0.068480296,0.645645658,0
3303.293333,6.80E-05,0.068484523,0.603732306,0
3303.793134,5.81E-05,0.068480296,0.638912083,0
3304.296269,5.39E-05,0.06848875,0.620727722,0
3304.795303,7.21E-05,0.06848875,0.623667801,0
3305.294328,6.03E-05,0.068492977,0.63326197,0
3305.797463,6.72E-05,0.068492977,0.610013872,0
3306.297576,4.88E-05,0.068497204,0.647777868,0
3306.792727,6.93E-05,0.068492977,0.608651597,0
3307.297313,5.43E-05,0.068505658,0.630050964,0
3307.797879,6.47E-05,0.068497204,0.626559418,0
3308.293636,6.31E-05,0.068492977,0.612758785,0
3308.790758,5.67E-05,0.068501431,0.645605917,0
3309.294412,6.79E-05,0.068501431,0.603898286,0
3309.797576,5.35E-05,0.068497204,0.643364846,0
3310.292727,5.52E-05,0.068492977,0.617247838,0
3310.795,6.74E-05,0.068497204,0.623618075,0
3311.297727,5.94E-05,0.06848875,0.637394998,0
3311.789077,6.39E-05,0.068492977,0.609328215,0
3312.296618,4.97E-05,0.068497204,0.647497826,0
3312.8,7.13E-05,0.06848875,0.608064982,0
3313.295385,5.33E-05,0.068497204,0.630218685,0
3313.788308,6.39E-05,0.068497204,0.623480643,0
3314.295,6.33E-05,0.068497204,0.613434924,0
3314.797727,5.66E-05,0.06848875,0.64498215,0
3315.292576,6.86E-05,0.068497204,0.60331502,0
3315.796029,5.83E-05,0.068492977,0.642928658,0
3316.299394,6.33E-05,0.068497204,0.615967472,0
