Time,AE,EC,M,O
37.29732673,26453.86139,7.21e-06,0.085186329,0
37.79625,30166.5,7.07e-06,0.079236867,0
38.2944,23946.1,7.05e-06,0.089529759,0
38.79638614,31484.30693,6.92e-06,0.078111356,0
39.29635,23315.8,6.91e-06,0.087090181,0
39.79565,30137.1,6.73e-06,0.081597349,0
40.29345,27438.35,6.77e-06,0.082151265,0
40.79653465,25462.72277,6.66e-06,0.087000477,0
41.29743719,32121.9598,6.62e-06,0.078370285,0
41.79492462,23302.66332,6.55e-06,0.089303263,0
42.29561576,31909.26108,6.5e-06,0.079655172,0
42.796,24962.85,6.4e-06,0.084426265,0
43.29597015,26301.89055,6.37e-06,0.085797159,0
43.79462687,33262.48756,6.26e-06,0.078878139,0
44.29594059,22492.82178,6.28e-06,0.088732375,0
44.79691542,32135.57214,6.2e-06,0.078879338,0
45.29361809,23439.64824,6.15e-06,0.087061573,0
45.79341584,30450.19802,6.08e-06,0.08234397,0
46.29585,27484.35,6.02e-06,0.081331446,0
46.79557214,25034.1791,6e-06,0.08818336,0
47.29492537,32738.45771,5.9e-06,0.077824552,0
47.7943,22545.35,5.97e-06,0.088770843,0
48.29487562,32860.39801,5.85e-06,0.080457951,0
48.79631841,23839.55224,5.77e-06,0.084070311,0
49.29409091,26884.34343,5.8e-06,0.085090909,0
49.79413793,31603.84236,5.72e-06,0.079384474,0
50.2960804,23061.30653,5.68e-06,0.088950051,0
50.79368687,32591.41414,5.62e-06,0.077883352,0
51.29389163,24009.06404,5.6e-06,0.086568639,0
51.79691542,29957.81095,5.55e-06,0.083036804,0
52.29517588,28388.09045,5.52e-06,0.081456378,0
52.79231156,24578.94472,5.48e-06,0.088043107,0
53.29435,32609.15,5.51e-06,0.079102349,0
53.79547739,22261.60804,5.43e-06,0.08862923,0
54.29425,33475.8,5.36e-06,0.07999753,0
54.79596059,23992.06897,5.37e-06,0.084565256,0
55.29728643,27487.23618,5.29e-06,0.085493976,0
55.79465,32708.25,5.23e-06,0.078837711,0
56.29674877,22764.97537,5.22e-06,0.089394267,0
56.7979,32549.85,5.21e-06,0.078356506,0
57.2951,23045.65,5.14e-06,0.086661807,0
57.79467662,29921.24378,5.08e-06,0.082582449,0
58.29368159,28425.8209,5.13e-06,0.081015765,0
58.79497487,24395.02513,5.1e-06,0.088778471,0
59.29378109,34078.00995,4.99e-06,0.077503327,0
59.79554455,21791.38614,5.02e-06,0.088981689,0
60.2980198,34304.30693,4.94e-06,0.07980043,0
60.7958794,23885.57789,4.93e-06,0.084067325,0
61.29346734,26963.71859,4.93e-06,0.086573894,0
61.79551724,32961.37931,4.87e-06,0.078438898,0
62.29451777,22876.95431,4.88e-06,0.08957654,0
62.7933,32804.4,4.75e-06,0.077941747,0
63.29378109,23611.09453,4.83e-06,0.087296709,0
63.79811881,30797.92079,4.74e-06,0.082472325,0
64.29577889,28541.40704,4.74e-06,0.081089484,0
64.79405,23945.5,4.73e-06,0.088697289,0
65.29605911,34541.37931,4.68e-06,0.07750549,0
65.79563452,21695.88832,4.65e-06,0.088963121,0
66.29490099,34208.0198,4.61e-06,0.080386497,0
66.79648515,23939.25743,4.58e-06,0.083666706,0
67.29668342,27390.65327,4.61e-06,0.085965248,0
67.79402985,33160.34826,4.51e-06,0.078429179,0
68.29437811,22886.46766,4.53e-06,0.089598693,0
68.79554455,33291.78218,4.53e-06,0.078066861,0
69.29577114,22801.09453,4.45e-06,0.086563987,0
69.7958,30465.4,4.48e-06,0.083392169,0
70.29393035,29027.06468,4.44e-06,0.080801894,0
70.79492537,23914.82587,4.42e-06,0.087917521,0
71.29497512,34493.23383,4.4e-06,0.078164778,0
71.7955,21921.7,4.36e-06,0.088611325,0
72.29355,34713.55,4.38e-06,0.080105542,0
72.79375,23712.3,4.39e-06,0.084641807,0
73.29512563,27206.63317,4.32e-06,0.085832234,0
73.7939801,33404.0796,4.27e-06,0.078397411,0
74.29661692,22745.07463,4.28e-06,0.089103578,0
74.79482412,33007.28643,4.25e-06,0.078823334,0
75.29298507,22812.93532,4.2e-06,0.086442486,0
75.79635468,30682.6601,4.21e-06,0.08248442,0
76.29675,28970.3,4.2e-06,0.081610542,0
76.79621891,23606.1194,4.13e-06,0.087924294,0
77.29747525,34093.81188,4.13e-06,0.077431468,0
77.79663317,21670.60302,4.15e-06,0.089061815,0
78.2960396,34561.68317,4.08e-06,0.080452106,0
78.7938191,24213.21608,4.08e-06,0.083940546,0
79.29653465,26798.16832,4.08e-06,0.08569134,0
79.79806931,33908.66337,4.02e-06,0.079018907,0
80.29626263,21813.13131,4.03e-06,0.089584581,0
80.79373134,33409.10448,4.01e-06,0.078188515,0
81.29606965,22476.96517,4.02e-06,0.08723455,0
81.79725,31361.05,3.96e-06,0.082858735,0
82.29482412,29573.01508,3.96e-06,0.080920567,0
82.79475248,23213.61386,3.99e-06,0.088838483,0
83.29746269,35078.50746,3.9e-06,0.077505844,0
83.79552764,21579.84925,3.91e-06,0.08883411,0
84.29554455,35254.60396,3.88e-06,0.079921269,0
84.79722772,23690.0,3.89e-06,0.084394608,0
85.29813131,26502.27273,3.87e-06,0.086125532,0
85.7938806,34401.8408,3.81e-06,0.078339927,0
86.29519802,22032.82178,3.87e-06,0.089781164,0
86.79706468,34278.80597,3.78e-06,0.077939339,0
87.29386935,22731.9598,3.79e-06,0.086793062,0
87.79425743,31020.69307,3.79e-06,0.083496004,0
88.29574257,29236.68317,3.75e-06,0.080624955,0
88.7965,23638.3,3.74e-06,0.08811494,0
89.29648515,34024.35644,3.73e-06,0.078037695,0
89.79595,21989.3,3.77e-06,0.088976566,0
90.29545,33690.6,3.7e-06,0.080123494,0
90.79447236,24864.22111,3.7e-06,0.083929467,0
91.29467662,26112.28856,3.69e-06,0.086405742,0
91.79674877,34333.64532,3.68e-06,0.078318417,0
92.29590909,22602.47475,3.68e-06,0.089615918,0
92.79318408,33514.02985,3.64e-06,0.078795061,0
93.295,23446.08911,3.64e-06,0.086539246,0
93.79753769,31208.79397,3.61e-06,0.082978144,0
94.2960396,29733.16832,3.59e-06,0.081119707,0
94.7971,24246.2,3.6e-06,0.088208373,0
95.29597015,34456.21891,3.58e-06,0.077619133,0
95.79537688,22407.73869,3.57e-06,0.088698735,0
96.29559406,33919.9505,3.55e-06,0.08045139,0
96.7947,25523.05,3.59e-06,0.084025422,0
97.2956,26286.65,3.52e-06,0.085787831,0
97.793,34574.0,3.48e-06,0.078788374,0
98.29570707,21894.79798,3.53e-06,0.088986674,0
98.79522388,34413.18408,3.5e-06,0.078156387,0
99.29442786,22159.85075,3.49e-06,0.087093748,0
99.79091837,30638.46939,3.49e-06,0.083662896,0
100.2958706,28937.06468,3.44e-06,0.079894443,0
100.7958291,23621.20603,3.44e-06,0.088340679,0
101.2934826,34137.61194,3.43e-06,0.078105557,0
101.7940796,22437.31343,3.43e-06,0.088444644,0
102.29725,34527.15,3.42e-06,0.08023747,0
102.7962189,24869.00498,3.39e-06,0.084306899,0
103.2949749,25519.44724,3.36e-06,0.0859822,0
103.7953465,36119.30693,3.39e-06,0.078471311,0
104.2933503,21468.17259,3.37e-06,0.089044034,0
104.7974372,34884.22111,3.31e-06,0.076848035,0
105.29345,22130.9,3.36e-06,0.086666446,0
105.79495,32348.15,3.35e-06,0.083215964,0
106.2954726,29276.26866,3.3e-06,0.081087994,0
106.7951759,23738.09045,3.32e-06,0.088471393,0
107.2951,34365.2,3.35e-06,0.077982771,0
107.7962189,21959.95025,3.29e-06,0.089311814,0
108.2945729,34053.66834,3.28e-06,0.080542956,0
108.7930846,24703.43284,3.28e-06,0.08364323,0
109.2978713,24972.07921,3.26e-06,0.086369975,0
109.7969347,35559.59799,3.26e-06,0.078619301,0
110.29315,21177.9,3.24e-06,0.089492169,0
110.7935644,34312.57426,3.25e-06,0.078243648,0
111.2949,21934.95,3.22e-06,0.08721494,0
111.7949,31239.35,3.21e-06,0.083303193,0
112.2974242,29181.21212,3.25e-06,0.081459474,0
112.798,23400.45,3.22e-06,0.089224096,0
113.2970707,34298.23232,3.19e-06,0.077290617,0
113.7938806,22405.07463,3.16e-06,0.08860211,0
114.2972906,33448.66995,3.21e-06,0.080989792,0
114.7980402,24916.0804,3.2e-06,0.083958467,0
115.2951256,24883.86935,3.2e-06,0.086547557,0
115.7931,35457.9,3.22e-06,0.078707952,0
116.2959606,22022.75862,3.19e-06,0.089842305,0
